EA,923,12478,1247801,31703,JFK,New York, NY,NY,22
EA,932,14843,1484301,34819,SJU,San Juan, Puerto Rico,?,268
EA,937,14100,1410001,34100,PHL,Philadelphia, PA,PA,23
EA,946,10821,1082102,30852,BWI,Baltimore, MD,MD,35
EA,954,14843,1484301,34819,SJU,San Juan, Puerto Rico,?,268
EA,968,15024,1502402,34945,STT,Charlotte Amalie, Virgin Islands,?,283
EA,979,14100,1410001,34100,PHL,Philadelphia, PA,PA,23
EA,993,13303,1330302,32467,MIA,Miami, FL,FL,33
EA,998,15024,1502402,34945,STT,Charlotte Amalie, Virgin Islands,?,283
EA,1031,10721,1072101,30721,BOS,Boston, MA,MA,13
EA,1061,10721,1072101,30721,BOS,Boston, MA,MA,13
EA,1100,12953,1295301,31703,LGA,New York, NY,NY,22
EA,1131,10721,1072101,30721,BOS,Boston, MA,MA,13
EA,1171,10721,1072101,30721,BOS,Boston, MA,MA,13
EA,1431,12953,1295301,31703,LGA,New York, NY,NY,22
EA,1461,12953,1295301,31703,LGA,New York, NY,NY,22
EA,1491,12953,1295301,31703,LGA,New York, NY,NY,22
EA,1530,11278,1127801,30852,DCA,Washington, DC,VA,38
EA,1607,11996,1199601,31871,GSP,Greer, SC,SC,37
EA,1612,12191,1219101,31453,HOU,Houston, TX,TX,74
EA,1620,11953,1195301,31953,GNV,Gainesville, FL,FL,33
EA,1626,11298,1129801,30194,DFW,Dallas/Fort Worth, TX,TX,74
EA,1633,10994,1099401,30994,CHS,Charleston, SC,SC,37
EA,1642,14100,1410001,34100,PHL,Philadelphia, PA,PA,23
EA,1651,10397,1039702,30397,ATL,Atlanta, GA,GA,34
EA,1657,10868,1086801,30868,CAE,Columbia, SC,SC,37
EA,1666,10397,1039702,30397,ATL,Atlanta, GA,GA,34
EA,1680,12266,1226601,31453,IAH,Houston, TX,TX,74
EA,1685,15249,1524901,35249,TLH,Tallahassee, FL,FL,33
EA,1693,10397,1039702,30397,ATL,Atlanta, GA,GA,34
HP,1,13930,1393001,30977,ORD,Chicago, IL,IL,41
HP,5,11540,1154001,30615,ELP,El Paso, TX,TX,74
HP,8,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,15,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,18,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,22,12889,1288901,32211,LAS,Las Vegas, NV,NV,85
HP,24,14747,1474702,30559,SEA,Seattle, WA,WA,93
HP,27,12889,1288901,32211,LAS,Las Vegas, NV,NV,85
HP,30,11921,1192101,31921,GJT,Grand Junction, CO,CO,82
HP,33,14783,1478301,34783,SGF,Springfield, MO,MO,64
HP,39,12278,1227801,30928,ICT,Wichita, KS,KS,62
HP,42,11413,1141301,30285,DRO,Durango, CO,CO,82
HP,48,12892,1289201,32575,LAX,Los Angeles, CA,CA,91
HP,63,13891,1389101,32575,ONT,Ontario, CA,CA,91
HP,90,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,94,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,125,14869,1486901,34614,SLC,Salt Lake City, UT,UT,87
HP,162,11423,1142302,31423,DSM,Des Moines, IA,IA,61
HP,202,13891,1389101,32575,ONT,Ontario, CA,CA,91
HP,205,12889,1288901,32211,LAS,Las Vegas, NV,NV,85
HP,208,13891,1389101,32575,ONT,Ontario, CA,CA,91
HP,210,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,228,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,240,14107,1410701,30466,PHX,Phoenix, AZ,AZ,81
HP,252,11423,1142302,31423,DSM,Des Moines, IA,IA,61
HP,256,12892,1289201,32575,LAX,Los Angeles, CA,CA,91
HP,291,12889,1288901,32211,LAS,Las Vegas, NV,NV,85
HP,314,11109,1110901,30189,COS,Colorado Springs, CO,CO,82
HP,346,13891,1389101,32575,ONT,Ontario, CA,CA,91
HP,380,16440,1644001,30423,AUS,Austin, TX,TX,74
HP,406,12892,1289201,32575,LAX,Los Angeles, CA,CA,91
HP,418,12892,1289201,32575,LAX,Los Angeles, CA,CA,91
